"code_bss_old","code_bss_new","point_name","code_insee","lon","lat","altitude","year_min","year_max","nb_gwlevel_obs","info_up_date"
"09964X0020/PZ1","BSS002HCDN","Saint-Laurent-du-Verdon - Font la Pierre","04186",6.07880245515338,43.7173350263292,432.00,2008,2024,6024,"2024-12-04"
"09695X0205/PIEZ","BSS002FDNR","Sainte Tulle - les Prés Vieux","04197",5.77394373079533,43.7742413172049,282.00,2001,2024,8362,"2024-12-04"
"09172X0094/P","BSS002CQHE","SISTERON - LE PUITS ISNARD","04209",5.93516813278131,44.2159755539889,466.00,1982,2024,8241,"2024-12-04"
"09693X0029/P","BSS002FDDN","VALENSOLE - JARDIN D'ENFANTS","04230",5.99121627310331,43.8383089243299,545.00,2006,2024,6488,"2024-12-04"
"09692X0128/PZ-3","BSS002FDBK","Valensole - Val d'Asse","04230",5.93554568590758,43.8814423445474,352.20,2002,2024,7686,"2024-12-04"
"08688X0023/PZ1","BSS002AUZN","Aspremont - Parking","05008",5.72893309938946,44.4934439170521,718.00,2009,2024,5493,"2024-12-04"
"09172X0078/P","BSS002CQGN","RIBIERS - L'ISCLE","05118",5.86294957278305,44.2312301394101,494.00,2006,2024,6120,"2024-12-04"
"08472X0007/F-1","BSS001ZZDP","LA-ROCHE-DE-RAME","05122",6.58266214540976,44.7386911982622,926.74,1987,2024,7436,"2024-12-04"
"08466X0023/S3","BSS001ZYYZ","LE FOULON","05145",6.24041062739112,44.6683979900446,1135.00,2005,2024,5931,"2024-12-04"
"08466X0009/F2","BSS001ZYYK","Saint-Jean-Saint-Nicolas - Les Ricous","05145",6.26081882078697,44.6809494376153,1166.80,1989,2024,9323,"2024-12-04"
"09724X0023/P2","BSS002FEUA","GILETTE - LE DEVENS (P2)","06066",7.18888793356329,43.8316160087107,116.00,1971,2024,12254,"2024-12-04"
"09994X0521/P4B","BSS002HEZT","NICE - STADE DES ARBORAS (P4B)","06088",7.19397788285563,43.6914480724709,17.00,1970,2024,19709,"2024-12-04"
"09995X0028/F","BSS002HFFC","Pégomas - le Boutéou (F6)","06090",6.92614125715263,43.5877620530034,16.81,1977,2024,12954,"2024-12-04"
"09998X0199/PZ_PID","BSS002HGZU","VILLENEUVE-LOUBET - PIED DE DIGUE","06161",7.12590092134099,43.6406147140988,30.00,2009,2024,5497,"2024-12-04"
"08888X0003/F","BSS002BMMK","Puits - Moulin de Pichegru (Saint-Andre-de-Cruzieres - BRGM 07)","07211",4.22698626203654,44.3069490723824,148.00,2011,2024,4817,"2024-12-04"
"08413X0091/F3","BSS001ZVLW","Forage - Captage des Tombes Antiques (Veyras - BRGM 07)","07340",4.55412128699076,44.7314886973706,444.00,2007,2024,6411,"2024-12-04"
"01095X0001/FAEP","BSS000HLSA","Craie à ALINCOURT","08005",4.34822078669931,49.4030447275753,99.00,2005,2024,6941,"2024-12-04"
"00684X0051/F-AEP","BSS000FAPP","Grès du Lias inférieur d'Hettange Luxembourg à ARREUX","08022",4.6622403314347,49.8211612739014,275.32,2004,2024,3817,"2024-12-04"
"01082X0049/PZ","BSS000HKPH","ALLUVIONS DE L'AISNE À ASFELD (NOUVEAU)","08024",4.112068,49.464665,62.65,2008,2024,5848,"2024-12-04"
"00678X0013/RECEAU","BSS000FAEY","Calcaires du Dogger sous couverture à BLANCHEFOSSE-ET-BAY","08069",4.25063690474903,49.7612799628027,213.00,2006,2024,6148,"2024-12-04"
"00868X0016/S1","BSS000FZHJ","CALCAIRES DU KIMMÉRIDGIEN-OXFORDIEN À BOUVELLEMONT","08080",4.66516746622246,49.5834113520789,252.00,1969,2024,6295,"2024-12-04"
"01102X0025/S1","BSS000HMCX","Calcaires de l'Oxfordien à BRIEULLES-SUR-BAR","08085",4.85538569721861,49.4770079147997,190.00,1971,2024,8938,"2024-12-04"
"00873X0036/F2","BSS000FZPE","CALCAIRES DU DOGGER À CHEHERY","08114",4.86384310220418,49.6366237126875,172.67,2004,2024,7287,"2024-12-04"
"00692X0062/P","BSS000FBDR","Colluvions sur socle Ardennais à GESPUNSART","08188",4.83422429153059,49.8139656585111,200.00,1983,2024,8280,"2024-12-04"
"00406X0029/PAEP","BSS000DTHU","Alluvions de la Meuse à HAM-SUR-MEUSE","08207",4.78868283602239,50.1097981816443,106.41,2002,2024,5500,"2024-12-04"
"00853X0030/PZ2013","BSS000FYFY","Craie à HANNOGNE-SAINT-REMY (nouveau)","08210",4.157302,49.607394,131.00,1969,2024,11039,"2024-12-04"
"00862X0005/S1","BSS000FYRF","SABLES DE L'APTO-ALBIEN À NOVION-PORCIEN","08329",4.42088609058763,49.6015875535723,120.60,1971,2024,7302,"2024-12-04"
"01097X0014/S1","BSS000HLVW","Craie à SEMIDE","08410",4.5830852501918,49.3407453657302,119.00,1969,2024,7468,"2024-12-04"
"01107X0094/P","BSS000HMYK","Calcaires du Kimméridgien-Oxfordien à THENORGUES","08446",4.924297,49.407085,187.00,2012,2024,4680,"2024-12-04"
"10756X0017/HY","BSS002MECT","SOURCE DE FONT SAINTES (ARIGNAC - 09)","09015",1.58728611045286,42.8786380249791,640.00,2014,2021,2610,"2024-12-04"
"10564X0020/F","BSS002LMRJ","FERME DE BONELLE - RTE DE ST MARTIN D'OYDES","09019",1.42932,43.15339,254.00,2016,2024,3070,"2024-12-04"
"10734X0010/HY","BSS002MAYC","BAGET","09035",1.03037840642482,42.9554436538555,496.20,1968,2024,15949,"2024-12-04"
"10586X0226/F","BSS002LPSM","PUITS COMMUNAL","09039",1.89623,43.04818,346.00,2015,2024,3557,"2024-12-04"
"10766X0089/HY","BSS002MFVH","FONTESTORBES","09047",1.9272368803151,42.8925967874634,510.00,1965,2022,12303,"2024-12-04"
"10734X0011/HY","BSS002MAYD","ALIOU","09091",1.04887649153156,42.9903153159958,441.00,1969,2024,15085,"2024-12-04"
"10563X0014/F","BSS002LMQM","PUITS COMMUNAL RIVE DROITE ARIZE","09105",1.30964,43.14429,246.00,2016,2024,3040,"2024-12-04"
"10357X0213/F","BSS002KJKN","SOLFERINO","09185",1.69294959601499,43.2094111743155,257.79,2003,2024,7339,"2024-12-04"
"10357X0021/F","BSS002KJBN","MONTAUT","09199",1.62794485036141,43.2254569787596,245.41,1996,2024,10195,"2024-12-04"
"10577X0159/F","BSS002LPFG","VERNIOLLE","09332",1.65651491082168,43.0773807385501,320.16,1996,2024,9865,"2024-12-04"
"03322X0007/PU","BSS000YMLT","CRAIE À AIX-EN-OTHE","10003",3.71672385132286,48.1942666105087,226.00,2002,2024,5466,"2024-12-04"
"03345X0016/F88-5","BSS000YNVM","CALCAIRES DU KIMMÉRIDGIEN-OXFORDIEN À BAR-SUR-SEINE","10034",4.37933263061457,48.0881181864985,157.00,1988,2024,2122,"2024-12-04"
"03328X0024/S1","BSS000YMYE","Craie à CHAMOY","10074",3.92798182610239,48.141246204579,276.00,1971,2024,9600,"2024-12-04"
"03696X1007/PU","BSS001ARXF","CALCAIRES DU PORTLANDIEN À CHASEREY-BAS","10087",4.06679726793755,47.9574129754123,205.00,2010,2024,4911,"2024-12-04"
"02633X1032/PZ","BSS000ULLX","Craie à CHAVANGES","10094",4.537619,48.510939,130.00,2013,2024,4220,"2024-12-04"
"BSS003KAXQ/X","BSS003KAXQ","ALLUVIONS DE LA SEINE AMONT À ISLE AUMONT","10173",4.124466,48.212008,125.66,2018,2024,2227,"2024-12-04"
