"code_bss_old","code_bss_new","point_name","code_insee","lon","lat","altitude","nb_results_ades_all_params","year_min","year_max","nb_parameters","nb_results","info_up_date"
"01007X0115/F","BSS000GTVV","USINE PIERVAL(PONT-SAINT-PIERRE-27)","27470",1.29060200015487,49.3315153399511,39.00,6117,2007,2024,34,226,"2024-10-31"
"01025X0047/F","BSS000GWSB","(COIVREL-60)","60660",1.86453705804783,49.3321495427344,100.00,26795,1999,2024,35,976,"2024-10-31"
"01084X0018/F","BSS000HKSG","AU N.E DU VILLAGE(TAGNON-08)","08435",4.29742914362908,49.4414879973556,93.00,33845,1997,2024,35,1209,"2024-10-31"
"01092X0017/SAEP","BSS000HLLE","HATONVAL (SOURCE)(SEUIL-08)","08416",4.45210834218719,49.4742935448882,94.00,35258,1997,2024,35,958,"2024-10-31"
"01103X0065/FE2","BSS000HMHU","PONT DES ARCHES(BUZANCY-08)","08089",4.94627933486319,49.4127275509385,169.00,10984,1997,2024,35,419,"2024-10-31"
"01191X0239/F","BSS000HWWV","LA ROSIERE PLANET(TRACY-SUR-MER-14)","14709",-0.648980435177949,49.3175232028514,31.78,28687,1992,2024,35,1136,"2024-10-31"
"01193X0187/F2","BSS000HXWL","EGLISE DE GUERVILLE, CR 4 DE SECQUEVILLE A CULLY(SECQUEVILLE-EN-BESSIN","14670",-0.529382447958585,49.2397586007124,36.00,39010,1993,2024,34,1133,"2024-10-31"
"01213X0250/FP1","BSS000JEBW","PARCELLES B3 ET B4(PIERREFITTE-EN-AUGE-14)","14500",0.211219885540675,49.2658582312335,19.00,25339,2006,2024,35,916,"2024-10-31"
"01228X0001/S","BSS000JGLC","SOURCE DE LA FONTAINE(BRIONNE-27)","27116",0.699069370176241,49.1999608238033,66.00,73397,1975,2024,35,2114,"2024-10-31"
"01233X0010/S","BSS000JGRH","SOURCE CAPTEE DE BOURICAR(SAINT-AMAND-DES-HAUTES-TERRES-27)","27506",0.940765670125163,49.2352590307024,115.00,35047,1996,2024,35,1090,"2024-10-31"
"01254X0070/F","BSS000JQKS","ST PAER, BOUT DU MOULIN(SAINT-DENIS-LE-FERMENT-27)","27533",1.73125661229795,49.3109325366612,59.08,45781,1993,2024,35,1314,"2024-10-31"
"01277X0181/F","BSS000JVRK","LA QUARANTAINE(BORAN-SUR-OISE-60)","60086",2.3687364856045,49.1797907930552,26.00,29742,1999,2024,34,959,"2024-10-31"
"01307X0117/SCE","BSS000KCEB","(BEUVARDES-02)","02083",3.49066264373067,49.1421692039506,190.00,31125,2007,2024,34,874,"2024-10-31"
"01318X0042/SAEP","BSS000KECL","LES EPINETTES(MARFAUX-51)","51348",3.89910718267424,49.1698105640458,158.00,22445,2007,2024,35,803,"2024-10-31"
"01332X1010/F","BSS000KGSD","VILLAGE(SAINT-CLEMENT-A-ARNES-08)","08378",4.42009346419651,49.3021540985396,105.00,26130,1997,2024,35,971,"2024-10-31"
"01474X0052/P1","BSS000LAHQ","FONTAINE SIROP, SYNDICAT DU PLATEAU SUD DE LISIEUX (PRETREVILLE)","14522",0.274003550491071,49.0739642628027,116.00,30543,1994,2024,35,1065,"2024-10-31"
"01501X0072/F2-94","BSS000LCAS","LES JARDINS(TOURNEVILLE-27)","27652",1.10401706014668,49.1001033427658,41.00,25312,2000,2024,35,865,"2024-10-31"
"01513X0029/F3","BSS000LELS","CAPTAGE COMMUNAL, ROUTE DE LAVACOURT(MOISSON-78)","78410",1.67431804539898,49.0704167718472,22.00,29333,1998,2023,34,765,"2024-10-31"
"01516X0115/F2","BSS000LEXN","captif","78089",1.577473784683,49.0346607238164,27.92,7882,2007,2024,35,331,"2024-10-31"
"01517X0088/F5","BSS000LFBE","SANDRANCOURT(GUERNES-78)","78290",1.65435157025109,49.0294710554757,24.00,39970,1991,2024,35,1355,"2024-10-31"
"01546X0065/F","BSS000LNFK","FERME DU COQ(MITRY-MORY-77)","77294",2.62289613027045,48.9861858051829,82.00,33232,1997,2024,35,985,"2024-10-31"
"01555X0067/F","BSS000LPQU","CAPTAGE COMMUNAL(ETREPILLY-77)","77173",2.92180317356537,49.0390076621201,73.00,35713,1995,2024,35,1133,"2024-10-31"
"01573X0013/SAEP","BSS000LTLQ","LES ECHAYERS(BELVAL-SOUS-CHATILLON-51)","51048",3.85760639381796,49.1272836024096,206.00,34336,2006,2024,35,958,"2024-10-31"
"02993X0112/P2","BSS000WMXY","STATION DE POMPAGE DU SYNDICAT(BRIENNE-LA-VIEILLE-10)","10063",4.53128967433497,48.3826327629967,127.00,22204,2007,2019,25,543,"2024-10-31"
"03015X0004/PFAEP","BSS000WQGX","STATION DE POMPAGE LES PREIS(SONCOURT-SUR-MARNE-52)","52480",5.12001921398734,48.2553955163333,224.00,23856,1998,2024,35,923,"2024-10-31"
"04651X0002/SOURCE","BSS001FUEC","LES EGEOIRS","58109",3.24647038075706,47.4644099216114,215.00,37890,1996,2024,34,1201,"2024-10-31"
"00275X0028/SO","BSS000CRQU","Source de SOURCE DE LA BROGNE.","62703",2.96297622279119,50.2625322173732,50.00,18233,1997,2023,34,715,"2024-10-31"
"04132X0191/PMT","BSS001CYUX","ALLUVIONS DE LA PLAINE D'ALSACE À ENSISHEIM -TUBE PROFONDEUR 26M","68082",7.35350977938835,47.8535506189963,219.35,29189,1977,2023,30,1515,"2024-10-31"
"06706X0075/PZ","BSS001RZFR","Piézomètre de LA METAIRIE BASSE","63461",3.390261,45.933393,278.00,38783,2009,2024,34,949,"2024-10-31"
"07421X0184/PZ","BSS001VJKK",,"63054",3.269808,45.49278,382.00,40462,2008,2024,34,857,"2024-10-31"
"02722X1320/CAPT2","BSS000UZQS","SCHAAL CHOCOLATIER","67152",7.69928284088347,48.5209548412672,144.00,14114,2017,2023,35,570,"2024-10-31"
"03057X0030/HY","BSS000WTGY","Grès du Trias inférieur (GTI) à SAINTE-HELENE  ","88418",6.6650413268607,48.2733683849751,325.00,33731,1999,2024,35,1292,"2024-10-31"
"05443X0002/F3AEP2","BSS001LNPD","RN.726 LA BERRETERIE VILLEGOUR 2","36093",1.62838574899006,46.9791098702275,143.00,21849,1984,2024,34,768,"2024-10-31"
"00728X0059/F1","BSS000FEBH","LE COUTRE","50615",-1.44914582598633,49.509156413097,34.00,30163,2005,2024,35,895,"2024-10-31"
"00752X0038/F","BSS000FGTC","LE HAUT LIMARD","76012",0.467620032470592,49.6679442380542,99.00,60965,1993,2024,35,1538,"2024-10-31"
"06216X0361/PZ","BSS001PWJV","croix rouge 2","03204",3.3943415709894,46.2664893490735,237.54,12816,2016,2024,34,751,"2024-10-31"
"01143X0039/HY","BSS000HSUC","SOURCE BURRE 1,2 ET 3, CALC DU MUSCHELKALK DE HAUTE-SARRE À RUSTROFF","57604",6.37470417756593,49.4419085068268,263.00,30541,1997,2024,14,1076,"2024-10-31"
"01144X0020/HY","BSS000HSWX","CALCAIRES DU MUSCHELKALK DE HAUTE-SARRE À MERSCHWEILLER","57459",6.39259787042804,49.4538888604659,237.00,29682,2009,2023,14,671,"2024-10-31"
"01372X0198/P2","BSS000KNBV","BASSIN FERRIFÈRE - RÉSERVOIR CENTRE À MANCIEULLES (PTS ST-PIERREMONT)","54342",5.90863426390299,49.2829742231818,253.47,2921,2014,2022,30,130,"2024-10-31"
"01947X0035/HY","BSS000PZYM","Calcaire à Gryphées de l'Hettangien-Sinémurien à MANHOUE","57440",6.35158187832841,48.8275105747685,245.00,1664,2011,2023,13,360,"2024-10-31"
