"code_station","x_l93","y_l93","x_longitude","y_latitude","nb_reseaux_distincts","nb_resultats_fw_params","date_min_fw_params","date_max_fw_params","info_up_date"
"03252840",398957,6919796,-1.1405280174411698,49.30671347460669,0,956,1995-01-18,2020-11-27,"2024-12-06"
"03253490",369047.22,6944001.15,-1.5702798058692342,49.50912557772468,0,1195,1990-07-18,2024-09-19,"2024-12-06"
"03253780",369949.71,6942835.23,-1.5569164605185786,49.49913303524207,0,2665,2007-01-22,2024-09-19,"2024-12-06"
"03254035",371528,6933908,-1.5281129923753556,49.419845153590856,0,2013,1990-07-18,2024-09-19,"2024-12-06"
"03254370",382653.41,6926498.62,-1.3694174478300154,49.35898275392947,0,2779,1990-01-22,2024-09-20,"2024-12-06"
"03254510",375408.09,6938982.77,-1.478703389725909,49.46737070652838,0,1351,1998-02-19,2024-09-20,"2024-12-06"
"03254685",381241,6936048,-1.3961368730683412,49.44397965885685,0,863,2007-01-22,2024-09-20,"2024-12-06"
"03254770",383297.53,6931146.56,-1.3641001861548685,49.40101727649736,0,3433,1990-01-22,2024-09-20,"2024-12-06"
"03254870",384958.49,6925844.06,-1.337249233768368,49.3542497276933,0,2188,1990-03-20,2024-09-20,"2024-12-06"
"03254920",379962.9,6909310.59,-1.3932325396212786,49.20336725157456,0,1011,2007-01-22,2024-09-05,"2024-12-06"
"03255180",379446.76,6899671.59,-1.3929494625265928,49.11658271500625,0,2615,2007-01-22,2024-09-18,"2024-12-06"
"03255580",388870,6910764,-1.2722827019252705,49.22080562711881,0,2018,1990-02-19,2024-09-05,"2024-12-06"
"03255650",390477.59,6905907.09,-1.2466674328741227,49.1779834756904,0,3015,1998-04-28,2024-09-18,"2024-12-06"
"03255785",394937.07,6901731.26,-1.182566478268532,49.1426326190804,0,1656,1990-02-19,2024-09-05,"2024-12-06"
"03257130",362466.25,6936559.12,-1.6548994565197794,49.43890005941802,0,1887,1990-01-22,2024-07-23,"2024-12-06"
"03257800",381716.56,6954905.93,-1.4040824621500299,49.61343304018967,0,3188,1998-02-09,2024-09-27,"2024-12-06"
"03258000",390124.9,6956879.04,-1.2894498257845688,49.63529413179824,0,2140,1990-09-24,2024-09-27,"2024-12-06"
"03258300",388111.35,6943932.18,-1.3075004087554936,49.518133246193756,0,1756,1998-01-20,2024-09-18,"2024-12-06"
"03260000",365667.22,6956619.88,-1.6270493044151695,49.620566734726744,0,2241,1990-01-22,2024-09-26,"2024-12-06"
"03261600",350274.36,6959455.34,-1.8419627560550909,49.637712027920685,0,948,2005-06-13,2024-09-26,"2024-12-06"
"03262000",351831,6947550,-1.8104354609716926,49.53177831144655,0,1580,1998-02-09,2024-09-26,"2024-12-06"
"03262430",350316.7,6943098.58,-1.8275501724553225,49.491016521999285,0,814,2008-07-22,2024-07-08,"2024-12-06"
"03264000",374041.01,6909543.18,-1.474532267294389,49.202467091058985,0,3310,1990-02-19,2024-09-25,"2024-12-06"
"03264965",378045.52,6891014.94,-1.4055006981520202,49.0381669387798,0,3368,1990-02-05,2024-09-24,"2024-12-06"
"03265000",373832,6890239,-1.4624355680453378,49.0290745553623,0,1861,1998-04-28,2024-07-29,"2024-12-06"
"03265385",390428.46,6875103.58,-1.2247500109071516,48.90138321129158,0,783,2008-08-11,2024-09-23,"2024-12-06"
"03265600",385407.34,6879094.24,-1.2960998247193418,48.93478274619164,0,3385,1990-02-05,2024-09-23,"2024-12-06"
