point_id,year,As [mg*kg-1],Ba [mg*kg-1],Be [mg*kg-1],Cd [mg*kg-1],Co [mg*kg-1],Cr [mg*kg-1],Cu [mg*kg-1],Hg [mg*kg-1],La [mg*kg-1],Li [mg*kg-1],Mn [mg*kg-1],Ni [mg*kg-1],Pb [mg*kg-1],Sr [mg*kg-1],V [mg*kg-1],Zn [mg*kg-1]
301,2010,,121.5,1.78,0.7,8.59,24.2,29.2,,18.9,26.3,549,18.8,101.4,16.9,35.0,133.1
301,2015,15.03,60.3,1.66,0.36,6.66,18.3,20.9,0.15,20.9,16.4,432.0,12.6,65.1,8.8,30.1,86.1
301,2020,13.1,60.6,"<2,00","<0,50",4.59,14.5,11.8,0.118,21.9,17.1,278,8.45,42.7,12.5,24.4,58
303,1995,,95.3,0.6,0.35,3.6,13.8,16.2,,19.5,16.0,535,10.7,27.5,16.7,31.7,73.3
303,2000,,107.7,0.67,0.43,4.85,13.2,15.0,,15.1,12.1,617,9.4,30.9,11.8,40.7,88.3
303,2005,,99.0,0.63,0.4,4.74,14.1,20.9,,16.0,11.8,601,10.9,36.5,14.2,36.4,94.3
303,2010,,100.3,0.65,0.35,6.05,15.1,18.8,,17.8,9.2,619,12.0,45.8,9.0,28.1,86.3
303,2015,11.25,95.1,1.16,0.31,8.63,22.3,18.8,0.13,16.9,16.4,811.0,15.9,38.9,7.9,37.1,88.7
303,2020,7.83,96.4,"<2,00","<0,50",6.43,17.5,14.9,0.182,21.09,11.5,457,12.2,28.5,17.6,26.7,76.4
305,1995,,120.0,0.5,0.35,13.1,23.3,16.7,,9.9,17.1,1533,25.0,26.7,11.6,63.7,71.7
305,2000,,132.5,0.6,0.29,17.07,18.9,20.0,,8.7,20.2,1350,27.7,26.7,10.2,53.3,69.7
305,2005,,111.7,0.4,0.29,16.94,21.2,27.9,,7.9,18.1,1449,26.3,29.6,7.1,47.8,61.2
305,2010,,97.1,0.49,0.27,9.66,25.1,19.8,,9.8,15.1,770,20.2,29.7,6.7,39.5,77.0
305,2015,17.83,99.3,0.63,0.3,10.92,28.5,20.4,0.13,9.0,16.9,974.0,19.3,28.8,7.3,40.3,78.6
305,2020,13.8,78.5,"<2,00","<0,50",8.18,21.6,14.2,"<0,100",9.59,11.7,760,14.5,24.7,"<10,00",31.1,59.2
307,1995,,76.3,0.6,0.32,7.95,14.8,15.8,,15.2,10.8,393,19.0,24.8,19.3,34.7,43.3
307,2000,,80.2,0.49,0.28,6.0,13.2,11.7,,14.8,11.4,306,15.2,20.5,14.5,33.3,45.8
307,2005,,69.5,0.4,0.23,6.95,13.1,10.3,,15.7,9.6,354,12.6,26.3,11.5,30.6,40.3
307,2010,,74.1,0.65,0.17,6.82,16.9,13.5,,16.4,8.3,333,15.9,21.3,13.0,26.8,44.8
307,2015,6.88,63.1,0.78,0.18,8.79,22.0,18.4,0.05,17.8,8.3,400.0,20.1,33.4,12.6,30.4,55.8
307,2020,5.93,59.4,"<2,00","<0,50",6.79,18.3,13.9,"<0,100",17.8,"<10,00",281,14.9,16.9,15.1,24.3,42
