point_id,year,c/n [-],humus [%],organic_carbon [%],total_nitrogen [%]
137,1995,9.8,1.89,1.1,0.112
137,2000,10.6,1.96,1.14,0.107
137,2005,8.7,1.45,0.84,0.096
137,2010,10.8,1.48,0.86,0.08
137,2015,8.8,1.66,0.97,0.11
137,2020,26.0,5.38,3.12,0.12
139,1995,12.0,1.66,0.96,0.08
139,2000,9.5,1.49,0.86,0.09
139,2005,9.3,1.37,0.79,0.085
139,2010,11.0,1.34,0.78,0.071
139,2015,7.4,1.27,0.74,0.1
139,2020,22.27,4.22,2.45,0.11
141,1995,13.8,1.57,0.91,0.066
141,2000,11.0,1.7,0.89,0.081
141,2005,14.6,1.64,0.95,0.065
141,2010,10.6,1.28,0.74,0.07
141,2015,9.8,1.35,0.78,0.08
141,2020,16.06,4.71,2.73,0.17
143,1995,7.7,1.42,0.82,0.106
143,2000,7.5,1.63,0.94,0.126
143,2005,8.6,1.65,0.96,0.111
143,2010,9.2,2.09,1.21,0.132
143,2015,8.3,1.99,1.15,0.14
143,2020,15.31,4.22,2.45,0.16
145,1995,10.3,1.3,0.75,0.073
145,2000,10.0,1.31,0.76,0.076
145,2005,11.6,1.23,0.71,0.061
145,2010,9.0,2.58,1.5,0.167
145,2015,8.1,1.39,0.81,0.1
145,2020,11.0,1.52,0.88,0.08
147,1995,8.3,1.58,0.92,0.111
147,2000,8.6,1.75,1.01,0.118
147,2005,13.5,2.0,1.7,0.126
147,2010,9.4,1.97,1.14,0.121
147,2015,7.8,1.89,1.1,0.14
147,2020,14.87,3.84,2.23,0.15
149,1995,10.0,1.2,0.7,0.07
149,2000,9.4,1.39,0.81,0.086
149,2005,8.6,1.13,0.66,0.077
149,2010,10.6,1.28,0.74,0.07
149,2015,6.8,1.17,0.68,0.1
149,2020,19.5,2.69,1.56,0.08
151,1995,11.0,3.08,1.78,0.162
151,2000,10.5,2.77,1.61,0.153
151,2005,12.5,2.64,1.53,0.122
151,2010,10.5,2.69,1.56,0.148
151,2015,9.2,2.22,1.29,0.14
151,2020,15.29,3.69,2.14,0.14
153,1995,10.8,1.55,0.89,0.082
153,2000,10.5,1.76,1.02,0.097
153,2005,18.5,1.46,0.85,0.081
153,2010,12.9,2.07,1.2,0.093
153,2015,10.6,0.73,0.43,0.04
153,2020,11.6,2.0,1.16,0.1
155,1995,9.7,1.7,0.98,0.101
155,2000,10.1,1.88,1.09,0.108
155,2005,11.6,1.85,1.07,0.092
155,2010,13.2,1.69,0.98,0.074
155,2015,15.2,1.57,0.91,0.06
155,2020,5,0.78,"<0,50",0.05
157,1995,17.8,1.53,0.89,0.05
157,2000,13.4,1.62,0.94,0.07
157,2005,14.8,1.58,0.92,0.062
157,2010,12.9,1.69,0.98,0.076
157,2015,12.0,1.87,1.08,0.09
157,2020,7.22,3.98,2.31,0.32
159,1995,13.4,2.47,1.43,0.107
159,2000,13.1,2.17,1.26,0.096
159,2005,11.7,1.62,0.94,0.08
159,2010,11.1,2.38,1.38,0.124
159,2015,11.6,3.01,1.74,0.15
159,2020,2.97,1.53,0.89,0.3
161,1995,8.1,1.37,0.79,0.097
161,2000,9.2,1.36,0.79,0.086
161,2005,7.6,1.11,0.64,0.084
161,2010,10.1,1.24,0.72,0.071
161,2015,11.0,1.14,0.66,0.06
161,2020,8.67,0.9,0.52,0.06
163,1995,11.2,1.7,0.99,0.08
163,2000,10.5,1.65,0.96,0.091
163,2005,11.5,1.41,0.82,0.071
163,2010,11.3,1.34,0.78,0.069
163,2015,11.1,1.52,0.88,0.08
163,2020,31.8,5.49,3.18,0.1
165,1995,14.2,1.47,0.85,0.06
165,2000,9.5,1.31,0.76,0.08
165,2005,13.8,1.24,0.72,0.052
165,2010,10.9,1.6,0.93,0.085
165,2015,10.2,1.4,0.81,0.08
165,2020,3.125,0.77,"<0,50",0.08
167,1995,11.4,1.65,0.99,0.087
