point_id,year,CaCo3 [%],pH_H2O [pH],pH_KCl [pH]
315,1995,,7.2,6.4
315,2000,,7.4,6.5
315,2005,,7.1,6.2
315,2010,0.33,7.4,6.6
315,2015,,6.6,6.2
315,2020,0.04,7.0,6.4
317,1995,,6.2,5.1
317,2000,,5.8,4.6
317,2005,,5.4,4.4
317,2010,,6.2,5.0
317,2015,,5.3,4.1
317,2020,0.49,6.5,5.5
319,1995,0.13,7.2,6.3
319,2000,0.13,7.4,6.5
319,2005,0.08,7.3,6.3
319,2010,0.33,7.8,7.0
319,2015,0.17,6.8,6.4
319,2020,0.06,7.3,6.9
321,1995,,6.6,5.7
321,2000,,6.8,5.8
321,2005,,6.1,5.1
321,2010,,6.3,5.4
321,2015,,5.9,5.1
321,2020,0.03,6.9,6.5
323,1995,,7.0,5.8
323,2000,,7.2,6.1
323,2005,,7.4,6.2
323,2010,,5.6,4.2
323,2015,,4.5,3.5
323,2020,0.03,6.6,5.8
