point_id,year,CaCo3 [%],pH_H2O [pH],pH_KCl [pH]
137,2005,,5.4,4.2
137,2010,,5.3,4.2
137,2015,,5.9,5.0
137,2020,0.02,6.0,5.0
139,1995,,6.1,5.2
139,2000,,6.3,5.2
139,2005,,6.2,5.2
139,2010,,6.4,5.7
139,2015,,5.8,4.9
139,2020,0.02,6.0,4.9
141,1995,,5.0,3.8
141,2000,,5.2,3.9
141,2005,,4.8,3.6
141,2010,0.16,7.3,7.1
141,2015,,4.9,4.1
141,2020,0.02,6.2,5.5
143,1995,,6.6,5.6
143,2000,,6.9,5.8
143,2005,,6.6,5.4
143,2010,0.12,7.3,6.7
143,2015,0.12,6.8,6.3
143,2020,0.04,7.0,6.5
145,1995,,4.8,3.8
145,2000,,5.4,3.9
145,2005,,5.2,4.1
145,2010,0.04,7.3,6.6
145,2015,,4.5,3.5
145,2020,0.18,6.1,6.1
147,1995,,5.3,4.1
147,2000,,6.0,4.6
147,2005,,6.0,5.0
147,2010,,5.9,4.7
147,2015,,4.9,3.9
147,2020,"<0,01",5.8,4.6
149,1995,,5.5,4.1
149,2000,,5.5,4.2
149,2005,,6.1,5.1
149,2010,,5.9,4.7
149,2015,,4.6,3.6
149,2020,0.02,6.9,6.6
151,1995,,6.9,5.8
151,2000,,6.8,5.5
151,2005,,6.7,5.6
151,2010,,6.7,5.5
151,2015,,5.3,4.3
151,2020,0.27,6.3,5.4
153,1995,,6.0,4.8
153,2000,,6.4,5.5
153,2005,,6.4,5.3
153,2010,,6.2,4.8
153,2015,,5.3,4.2
153,2020,0.54,7.0,6.5
155,1995,,6.1,4.9
155,2000,,5.8,4.6
155,2005,,6.0,5.0
155,2010,,5.9,4.3
155,2015,,4.4,3.4
155,2020,0.03,6.6,5.9
157,1995,,6.5,5.2
157,2000,,6.7,5.4
157,2005,,6.1,5.0
157,2010,,5.5,4.1
157,2015,,5.9,5.2
157,2020,0.04,6.8,6.2
159,1995,,5.9,4.9
159,2000,,6.1,4.9
159,2005,,5.4,4.5
159,2010,,5.6,4.2
159,2015,,5.6,4.3
159,2020,0.06,5.8,5.2
161,1995,,5.8,4.5
