point_id,year,PAH_sum_13 [µg*kg-1],anthracene [µg*kg-1],benzo(a)anthracene [µg*kg-1],benzo(a)fluoranthene [µg*kg-1],benzo(a)pyrene [µg*kg-1],benzo(b)fluoranthene [µg*kg-1],benzo(ghi)perylene [µg*kg-1],benzo(k)fluoranthene [µg*kg-1],chrysene [µg*kg-1],dibenzo(a.h)anthracene [µg*kg-1],fluoranthene [µg*kg-1],fluorene [µg*kg-1],indeno(1.2.3-cd)pyrene [µg*kg-1],naphthalene [µg*kg-1],phenanthrene [µg*kg-1,pyrene [µg*kg-1]
361,2020,"<25,0","<25,0","<25,0","<25,0","<25,0","<25,0","<25,0","<25,0","<25,0","<25,0","<25,0","<25,0","<25,0","<25,0","<25,0","<25,0"
363,1995,203.0,,,,,,,,,,,,,,,
363,2000,395.0,,,,,,,,,,,,,,,
363,2005,317.0,,,,,,,,,,,,,,,
363,2010,622.0,,,,,,,,,,,,,,,
363,2015,342.1,5.7,27.0,8.9,29.5,49.8,23.1,18.5,30.2,7.7,45.7,4.6,29.4,9.8,33.2,37.6
363,2020,"<25,0","<25,0","<25,0","<25,0","<25,0","<25,0","<25,0","<25,0","<25,0","<25,0","<25,0","<25,0","<25,0","<25,0","<25,0","<25,0"
365,1995,154.0,,,,,,,,,,,,,,,
365,2000,333.0,,,,,,,,,,,,,,,
365,2005,234.0,,,,,,,,,,,,,,,
365,2010,382.9,,,,,,,,,,,,,,,
365,2015,268.1,5.1,18.7,7.5,21.9,35.7,16.9,13.8,22.4,7.0,36.8,6.2,23.2,8.7,30.6,29.7
365,2020,194,"<25,0","<25,0",32,"<25,0","<25,0",26,"<25,0",33,"<25,0",51,"<25,0",44,"<25,0","<25,0",40
367,1995,103.0,,,,,,,,,,,,,,,
367,2000,411.0,,,,,,,,,,,,,,,
367,2005,183.0,,,,,,,,,,,,,,,
367,2010,323.1,,,,,,,,,,,,,,,
367,2015,139.6,2.6,8.7,3.9,11.4,17.4,10.5,7.1,10.2,4.3,17.8,2.1,12.0,2.0,20.6,14.9
367,2020,64,"<25,0","<25,0","<25,0","<25,0","<25,0","<25,0","<25,0","<25,0","<25,0",37,"<25,0","<25,0","<25,0","<25,0",27
369,1995,75.0,,,,,,,,,,,,,,,
369,2000,123.0,,,,,,,,,,,,,,,
369,2005,80.0,,,,,,,,,,,,,,,
369,2010,74.0,,,,,,,,,,,,,,,
