point_id,year,organochlorine_pesticides_DDT/DDE/DDD [mg*kg-1],organochlorine_pesticides_aldrin [mg*kg-1],organochlorine_pesticides_alfa-HCH [mg*kg-1],organochlorine_pesticides_beta-HCH [mg*kg-1],organochlorine_pesticides_dieldrin [mg*kg-1],organochlorine_pesticides_endrin [mg*kg-1],organochlorine_pesticides_gamma-HCH [mg*kg-1],pesticides_non_chlorinated_compounds_atrazin [mg*kg-1],pesticides_non_chlorinated_compounds_carbaryl [mg*kg-1],pesticides_non_chlorinated_compounds_carbofuran [mg*kg-1]
201,2015,0.108,"<0,001","<0,001","<0,001","<0,001","<0,001","<0,001","<0,001",0.003,"<0,001"
203,2015,0.012,0.001,"<0,001","<0,001","<0,001","<0,001","<0,001","<0,001","<0,001","<0,001"
205,2015,0.039,"<0,001","<0,001","<0,001","<0,001","<0,001","<0,001","<0,001","<0,001","<0,001"
207,2015,0.078,0.001,"<0,001","<0,001","<0,001","<0,001","<0,001","<0,001","<0,001","<0,001"
209,2015,0.09,0.001,"<0,001","<0,001","<0,001","<0,001","<0,001","<0,001","<0,001","<0,001"
211,2015,0.009,"<0,001","<0,001","<0,001","<0,001","<0,001","<0,001","<0,001","<0,001","<0,001"
213,2015,0.1,"<0,001","<0,001","<0,001","<0,001","<0,001","<0,001","<0,001","<0,001","<0,001"
215,2015,0.044,"<0,001","<0,001","<0,001","<0,001","<0,001","<0,001","<0,001","<0,001","<0,001"
217,2015,0.068,"<0,001","<0,001","<0,001","<0,001","<0,001","<0,001","<0,001","<0,001","<0,001"
219,2015,0.012,"<0,001","<0,001","<0,001","<0,001","<0,001","<0,001","<0,001","<0,001","<0,001"
221,2015,0.125,"<0,001","<0,001","<0,001","<0,001","<0,001","<0,001","<0,001",0.004,"<0,001"
223,2015,0.028,"<0,001","<0,001","<0,001","<0,001","<0,001","<0,001","<0,001","<0,001","<0,001"
225,2015,0.005,"<0,001","<0,001","<0,001","<0,001","<0,001","<0,001","<0,001","<0,001","<0,001"
229,2015,0.021,"<0,001","<0,001","<0,001","<0,001","<0,001",0.006,"<0,001","<0,001","<0,001"
231,2015,0.117,"<0,001","<0,001","<0,001","<0,001","<0,001","<0,001","<0,001","<0,001","<0,001"
233,2015,0.029,"<0,001","<0,001","<0,001","<0,001","<0,001",0.001,"<0,001","<0,001","<0,001"
235,2015,0.041,"<0,001","<0,001","<0,001","<0,001","<0,001","<0,001","<0,001","<0,001","<0,001"
237,2015,0.058,"<0,001","<0,001","<0,001","<0,001","<0,001","<0,001","<0,001","<0,001","<0,001"
239,2015,0.004,"<0,001","<0,001","<0,001","<0,001","<0,001",0.007,"<0,001","<0,001","<0,001"
241,2015,0.017,"<0,001","<0,001","<0,001","<0,001","<0,001","<0,001","<0,001","<0,001","<0,001"
243,2015,0.003,"<0,001","<0,001","<0,001","<0,001","<0,001","<0,001","<0,001","<0,001","<0,001"
245,2015,0.067,"<0,001","<0,001","<0,001","<0,001","<0,001","<0,001","<0,001","<0,001","<0,001"
247,2015,0.059,"<0,001","<0,001","<0,001","<0,001","<0,001","<0,001","<0,001","<0,001","<0,001"
249,2015,0.038,"<0,001","<0,001","<0,001","<0,001","<0,001","<0,001","<0,001","<0,001","<0,001"
251,2015,0.345,"<0,001","<0,001","<0,001","<0,001","<0,001","<0,001","<0,001","<0,001","<0,001"
253,2015,0.077,"<0,001","<0,001","<0,001","<0,001","<0,001","<0,001","<0,001","<0,001","<0,001"
255,2015,0.389,"<0,001","<0,001","<0,001","<0,001","<0,001","<0,001","<0,001","<0,001","<0,001"
257,2015,0.069,"<0,001","<0,001","<0,001","<0,001","<0,001","<0,001","<0,001","<0,001","<0,001"
259,2015,0.048,"<0,001","<0,001","<0,001","<0,001","<0,001","<0,001","<0,001","<0,001","<0,001"
261,2015,0.159,"<0,001","<0,001","<0,001","<0,001","<0,001","<0,001","<0,001","<0,001","<0,001"
263,2015,0.009,"<0,001","<0,001","<0,001","<0,001","<0,001",0.001,"<0,001",0.001,"<0,001"
265,2015,0.052,"<0,001","<0,001","<0,001","<0,001","<0,001","<0,001","<0,001",0.005,"<0,001"
267,2015,0.003,"<0,001","<0,001","<0,001","<0,001","<0,001","<0,001","<0,001","<0,001","<0,001"
269,2015,0.11,"<0,001","<0,001","<0,001","<0,001","<0,001","<0,001","<0,001","<0,001","<0,001"
271,2015,0.029,"<0,001","<0,001","<0,001","<0,001","<0,001","<0,001","<0,001",0.001,"<0,001"
273,2015,0.065,"<0,001","<0,001","<0,001","<0,001","<0,001","<0,001","<0,001","<0,001","<0,001"
275,2015,0.229,"<0,001","<0,001","<0,001","<0,001","<0,001","<0,001","<0,001",0.005,"<0,001"
277,2015,0.008,"<0,001","<0,001","<0,001","<0,001","<0,001","<0,001","<0,001","<0,001","<0,001"
279,2015,0.009,"<0,001","<0,001","<0,001","<0,001","<0,001","<0,001","<0,001","<0,001","<0,001"
281,2015,0.038,"<0,001","<0,001","<0,001","<0,001","<0,001","<0,001","<0,001",0.001,"<0,001"
283,2015,0.004,"<0,001","<0,001","<0,001","<0,001","<0,001","<0,001","<0,001","<0,001","<0,001"
285,2015,0.006,"<0,001","<0,001","<0,001","<0,001","<0,001","<0,001","<0,001",0.001,"<0,001"
287,2015,0.037,"<0,001","<0,001","<0,001","<0,001","<0,001","<0,001","<0,001","<0,001","<0,001"
289,2015,0.105,"<0,001","<0,001","<0,001","<0,001","<0,001","<0,001","<0,001","<0,001","<0,001"
291,2015,0.006,"<0,001","<0,001","<0,001","<0,001","<0,001","<0,001","<0,001","<0,001","<0,001"
295,2015,0.002,0.001,"<0,001","<0,001","<0,001","<0,001","<0,001","<0,001","<0,001","<0,001"
297,2015,0.033,"<0,001","<0,001","<0,001","<0,001","<0,001","<0,001","<0,001","<0,001","<0,001"
299,2015,0.026,"<0,001","<0,001","<0,001","<0,001","<0,001","<0,001","<0,001","<0,001","<0,001"
301,2015,0.022,0.003,"<0,001","<0,001","<0,001","<0,001","<0,001","<0,001","<0,001","<0,001"
303,2015,0.117,0.002,"<0,001","<0,001","<0,001","<0,001","<0,001","<0,001","<0,001","<0,001"
305,2015,0.119,0.001,"<0,001","<0,001","<0,001","<0,001","<0,001","<0,001","<0,001","<0,001"
307,2015,0.006,0.003,"<0,001","<0,001","<0,001","<0,001","<0,001","<0,001","<0,001","<0,001"
311,2015,0.005,"<0,001","<0,001","<0,001","<0,001","<0,001","<0,001","<0,001","<0,001","<0,001"
313,2015,0.023,"<0,001","<0,001","<0,001","<0,001","<0,001","<0,001","<0,001","<0,001","<0,001"
315,2015,0.014,"<0,001","<0,001","<0,001","<0,001","<0,001","<0,001",0.001,"<0,001","<0,001"
317,2015,0.003,"<0,001","<0,001","<0,001","<0,001","<0,001","<0,001","<0,001","<0,001","<0,001"
319,2015,0.027,"<0,001","<0,001","<0,001","<0,001","<0,001","<0,001","<0,001","<0,001","<0,001"
321,2015,0.077,"<0,001","<0,001","<0,001","<0,001","<0,001","<0,001","<0,001","<0,001","<0,001"
323,2015,0.325,"<0,001","<0,001","<0,001","<0,001","<0,001","<0,001","<0,001",0.002,"<0,001"
325,2015,0.039,"<0,001","<0,001","<0,001","<0,001","<0,001","<0,001","<0,001","<0,001","<0,001"
327,2015,0.032,"<0,001","<0,001","<0,001","<0,001","<0,001","<0,001","<0,001","<0,001","<0,001"
329,2015,0.053,"<0,001","<0,001","<0,001","<0,001","<0,001","<0,001","<0,001","<0,001","<0,001"
331,2015,0.485,"<0,001","<0,001","<0,001","<0,001","<0,001","<0,001","<0,001",0.002,"<0,001"
333,2015,0.025,"<0,001","<0,001","<0,001","<0,001","<0,001","<0,001","<0,001","<0,001","<0,001"
335,2015,0.003,0.002,"<0,001","<0,001","<0,001","<0,001",0.002,"<0,001","<0,001","<0,001"
337,2015,0.033,0.005,"<0,001","<0,001","<0,001","<0,001","<0,001","<0,001","<0,001","<0,001"
339,2015,0.119,"<0,001","<0,001","<0,001","<0,001","<0,001","<0,001","<0,001","<0,001","<0,001"
341,2015,0.014,"<0,001","<0,001","<0,001","<0,001","<0,001","<0,001",0.001,"<0,001","<0,001"
343,2015,0.265,"<0,001","<0,001","<0,001","<0,001","<0,001","<0,001",0.004,0.002,"<0,001"
