point_id,year,Al [%],Ca [%],Fe [%],K [%],Mg [%],Na [%],P [%],S [%]
57,2010,1.26,0.54,2.67,0.19,0.49,0.006,0.072,0.026
57,2015,1.17,0.56,2.2,0.16,0.45,0.008,0.07,0.034
57,2020,0.4,0.08,0.45,0.09,0.09,0.003,0.038,0.027
59,1995,0.28,0.04,0.28,0.04,0.03,0.007,0.027,0.011
59,2000,0.23,0.02,0.21,0.02,0.02,0.004,0.03,0.012
59,2005,0.19,0.02,0.26,0.03,0.02,0.006,0.032,0.009
59,2010,0.17,0.03,0.25,0.04,0.02,0.009,0.038,0.01
59,2015,0.16,0.02,0.33,0.01,0.02,0.003,0.05,0.017
59,2020,2.04,0.42,2.75,0.32,0.58,0.007,0.093,0.009
61,1995,0.8,0.24,1.01,0.16,0.19,0.01,0.03,0.012
61,2000,0.68,0.18,0.89,0.13,0.14,0.007,0.035,0.016
61,2005,0.63,0.16,0.88,0.1,0.16,0.006,0.04,0.014
61,2010,0.42,0.12,0.87,0.1,0.12,0.007,0.046,0.016
61,2015,0.32,0.15,0.96,0.08,0.1,0.004,0.05,0.017
61,2020,0.64,3.42,0.88,0.08,2.17,0.01,0.014,0.013
63,1995,1.01,0.19,1.19,0.18,0.22,0.012,0.036,0.022
63,2000,0.98,0.18,0.97,0.1,0.17,0.008,0.048,0.018
63,2005,0.92,0.17,1.04,0.1,0.2,0.008,0.055,0.016
63,2010,0.65,0.16,1.07,0.12,0.16,0.018,0.045,0.016
63,2015,0.51,0.31,0.81,0.12,0.14,0.013,0.04,0.024
63,2020,0.42,0.08,0.58,0.07,0.08,0.004,0.061,0.017
65,1995,0.65,0.18,0.78,0.2,0.11,0.015,0.051,0.012
65,2000,0.51,0.12,0.69,0.18,0.09,0.006,0.061,0.016
65,2005,0.51,0.12,0.75,0.17,0.08,0.01,0.062,0.014
65,2010,0.38,0.09,0.66,0.12,0.09,0.008,0.048,0.009
65,2015,0.39,0.07,0.57,0.14,0.09,0.01,0.05,0.015
65,2020,0.71,0.36,0.78,0.13,0.15,0.006,0.042,0.011
69,1995,0.45,0.13,0.52,0.09,0.08,0.007,0.043,0.017
69,2000,0.39,0.13,0.47,0.07,0.07,0.007,0.055,0.013
69,2005,0.35,0.14,0.58,0.05,0.06,0.006,0.055,0.01
69,2010,0.35,0.08,0.47,0.08,0.06,0.011,0.044,0.012
69,2015,0.29,0.05,0.4,0.06,0.05,0.007,0.04,0.013
69,2020,0.2,0.21,0.23,0.03,0.03,0.003,0.029,0.01
71,1995,0.4,0.07,0.53,0.07,0.04,0.007,0.046,0.011
71,2000,0.3,0.07,0.47,0.05,0.04,0.004,0.048,0.016
71,2005,0.26,0.08,0.53,0.04,0.03,0.004,0.053,0.014
71,2010,0.19,0.05,0.48,0.04,0.03,0.005,0.047,0.011
71,2015,0.22,0.07,0.42,0.05,0.03,0.005,0.08,0.016
71,2020,0.88,0.15,0.75,0.12,0.19,0.008,0.039,0.01
73,1995,0.94,0.19,1.13,0.22,0.22,0.009,0.059,0.014
73,2000,0.79,0.18,1.16,0.22,0.23,0.008,0.063,0.014
73,2005,0.76,0.18,1.11,0.2,0.17,0.01,0.099,0.016
73,2010,0.52,0.16,1.05,0.15,0.16,0.003,0.06,0.015
73,2015,0.49,0.37,0.93,0.18,0.14,0.007,0.1,0.033
73,2020,0.93,0.33,1.08,0.27,0.25,0.007,0.041,0.025
75,1995,0.73,0.09,0.74,0.17,0.15,0.01,0.038,0.019
75,2000,0.52,0.08,0.67,0.11,0.1,0.007,0.041,0.017
75,2005,0.54,0.07,0.65,0.09,0.1,0.007,0.05,0.017
75,2010,0.36,0.08,0.64,0.08,0.09,0.003,0.053,0.011
75,2015,0.29,0.05,0.5,0.06,0.07,0.003,0.05,0.014
75,2020,1.41,0.19,1.46,0.19,0.24,0.006,0.045,0.014
77,1995,0.88,0.15,0.77,0.11,0.13,0.008,0.097,0.017
77,2000,0.74,0.18,0.78,0.11,0.13,0.007,0.11,0.02
77,2005,0.95,0.14,0.91,0.12,0.16,0.012,0.104,0.022
77,2010,0.59,0.12,0.78,0.08,0.11,0.004,0.088,0.015
77,2015,0.47,0.1,0.65,0.07,0.09,0.003,0.09,0.021
77,2020,"<0,0022",0.07,0.51,0.09,0.09,0.004,0.032,0.018
79,1995,3.52,2.31,3.78,0.94,1.18,0.031,0.048,0.022
79,2000,2.8,2.09,3.47,0.83,0.97,0.021,0.05,0.02
79,2005,2.51,2.76,3.56,0.62,1.0,0.016,0.105,0.025
79,2010,1.32,0.63,2.76,0.35,0.51,0.003,0.067,0.019
79,2015,1.12,0.8,2.58,0.33,0.45,0.007,0.06,0.019
79,2020,0.6,0.07,0.71,0.05,0.09,0.004,0.057,0.012
81,1995,0.64,0.17,0.66,0.07,0.1,0.011,0.061,0.016
81,2000,0.44,0.18,0.64,0.05,0.08,0.007,0.055,0.018
81,2005,0.57,0.18,0.63,0.05,0.07,0.006,0.06,0.015
81,2010,0.33,0.05,0.57,0.04,0.05,0.005,0.071,0.013
81,2015,0.25,0.04,0.49,0.03,0.05,0.006,0.07,0.013
