point_id,year,radioactivity [Bq*kg-1],soil_electrical_conductivity [mS*m-1],soil_salinity [mg KCl*100g-1]
131,2000,655.0,13.9,36.7
131,2005,582.0,13.8,36.4
131,2010,614.0,7.16,18.9
131,2015,559.0,6.46,17.05
131,2020,636.0,14.7727272,39.0
133,1995,321.0,4.81,12.4
133,2000,337.0,4.3,11.3
133,2005,373.0,7.9,20.8
133,2010,426.0,5.09,13.43
133,2015,404.0,10.25,27.06
133,2020,352.0,6.81818181,18.0
135,1995,486.0,12.01,30.9
135,2000,526.0,9.3,24.6
135,2005,585.0,8.5,22.0
135,2010,536.0,6.8,17.96
135,2015,534.0,10.32,27.24
135,2020,310.0,9.84848484,26.0
137,1995,512.0,4.14,10.7
137,2000,531.0,3.3,8.7
137,2005,482.0,4.8,12.7
137,2010,510.0,4.11,10.85
137,2015,479.0,7.18,18.96
137,2020,391.0,5.68181818,15.0
139,1995,322.0,9.44,24.3
139,2000,408.0,6.3,16.6
139,2005,413.0,7.5,19.8
139,2010,409.0,9.15,24.17
139,2015,204.0,5.24,13.83
139,2020,489,3.23,"<10,00"
141,1995,378.0,4.94,12.7
141,2000,367.0,3.8,10.1
141,2005,407.0,5.3,13.9
141,2010,610.0,7.17,18.92
141,2015,287.0,4.68,12.36
141,2020,411.0,14.7727272,39.0
143,1995,401.0,7.21,19.0
143,2000,453.0,7.8,20.6
143,2005,434.0,6.9,18.3
143,2010,502.0,9.17,24.21
143,2015,448.0,5.42,14.31
143,2020,380.0,7.19696969,19.0
145,1995,398.0,6.83,18.0
145,2000,527.0,4.9,12.9
145,2005,509.0,6.4,17.0
145,2010,607.0,9.7,25.61
145,2015,524.0,6.55,17.29
145,2020,370.0,11.3636363,30.0
147,1995,404.0,3.72,9.8
147,2000,455.0,5.1,13.5
147,2005,418.0,7.5,19.0
147,2010,356.0,6.48,17.11
147,2015,453.0,5.98,15.79
147,2020,485,"<1,00","<10,00"
149,1995,344.0,2.77,7.3
149,2000,341.0,3.3,8.7
149,2005,298.0,5.6,14.7
149,2010,538.0,7.27,19.18
149,2015,321.0,6.69,17.66
149,2020,346.0,10.2272727,27.0
151,1995,473.0,8.36,21.9
151,2000,587.0,7.1,18.7
151,2005,412.0,8.9,23.6
151,2010,388.0,5.96,15.72
151,2015,953.0,5.18,13.68
151,2020,453.0,6.43939393,17.0
153,1995,326.0,2.29,6.0
153,2000,319.0,2.9,8.5
153,2005,331.0,6.3,16.7
153,2010,543.0,5.55,14.66
153,2015,585.0,3.39,8.95
153,2020,363.0,11.7424242,31.0
155,1995,251.0,3.78,10.0
155,2000,198.0,3.4,9.0
155,2005,235.0,5.1,13.4
155,2010,264.0,4.18,11.05
155,2015,383.0,5.17,13.65
155,2020,227,"<1,00","<10,00"
157,1995,266.0,2.46,6.5
157,2000,329.0,4.2,11.1
157,2005,344.0,4.9,12.9
157,2010,338.0,4.79,12.63
157,2015,893.0,19.98,52.75
157,2020,267,3.01,"<10,00"
159,1995,537.0,5.12,13.2
159,2000,581.0,4.6,12.1
159,2005,593.0,4.8,12.7
159,2010,530.0,4.92,12.98
159,2015,368.0,6.11,16.13
159,2020,329.0,7.57575757,20.0
161,1995,440.0,4.99,13.0
161,2000,414.0,2.8,7.4
161,2005,551.0,4.4,11.7
161,2010,460.0,4.86,12.84
161,2015,688.0,9.82,25.92
161,2020,291.0,10.2272727,27.0
163,1995,376.0,2.38,6.3
163,2000,357.0,3.7,9.8
163,2005,411.0,5.0,13.0
163,2010,417.0,4.17,11.0
163,2015,648.0,6.79,17.93
163,2020,311,"<1,00","<10,00"
165,1995,484.0,2.68,6.8
165,2000,593.0,3.5,9.2
165,2005,595.0,5.3,13.9
165,2010,635.0,4.47,11.8
165,2015,1146.0,6.75,17.82
165,2020,526.0,8.71212121,23.0
167,1995,581.0,6.87,17.7
167,2000,621.0,7.3,19.3
167,2005,595.0,6.0,15.7
167,2010,476.0,6.64,17.54
167,2015,792.0,24.47,64.6
167,2020,517.0,16.6666666,44.0
169,1995,437.0,2.87,7.6
169,2000,329.0,3.6,9.5
169,2005,463.0,4.7,12.4
169,2010,459.0,3.25,8.58
169,2015,691.0,3.61,9.53
169,2020,353.0,8.33333333,22.0
171,1995,451.0,3.54,9.3
171,2000,512.0,3.7,9.8
171,2005,536.0,5.6,14.8
171,2010,469.0,4.34,11.45
171,2015,676.0,6.91,18.24
171,2020,400.0,6.06060606,16.0
173,1995,232.0,2.78,7.1
173,2000,298.0,3.5,9.2
173,2005,246.0,5.6,14.8
173,2010,402.0,3.25,8.57
173,2015,471.0,7.89,20.83
173,2020,285.0,9.09090909,24.0
175,1995,283.0,5.42,15.6
175,2000,349.0,7.1,18.7
175,2005,336.0,8.6,22.6
175,2010,472.0,5.74,15.16
175,2015,544.0,5.49,14.49
175,2020,433.0,11.3636363,30.0
177,1995,700.0,6.16,16.3
177,2000,804.0,4.3,11.3
177,2005,685.0,5.2,13.7
177,2010,772.0,8.71,22.98
177,2015,628.0,8.27,21.83
177,2020,782.0,16.6666666,44.0
179,1995,420.0,12.35,31.8
179,2000,444.0,9.8,25.9
179,2005,394.0,10.6,28.1
179,2010,417.0,5.9,15.58
179,2015,350.0,6.49,17.13
179,2020,340.0,18.560606,49.0
181,1995,337.0,4.09,10.5
181,2000,416.0,6.8,17.9
181,2005,411.0,7.9,20.8
181,2010,486.0,7.18,18.95
181,2015,472.0,8.46,22.33
181,2020,475.0,10.9848484,29.0
183,1995,472.0,7.18,18.9
183,2000,430.0,7.1,18.7
183,2005,466.0,6.7,17.6
183,2010,445.0,4.02,10.61
183,2015,773.0,6.15,16.24
183,2020,497.0,30.6818181,81.0
187,1995,779.0,8.04,21.2
187,2000,849.0,8.2,21.6
187,2005,759.0,11.5,30.3
187,2010,766.0,7.99,21.09
187,2015,827.0,9.66,25.5
187,2020,809.0,20.8333333,55.0
189,1995,699.0,34.46,93.6
189,2000,660.0,31.6,83.4
189,2005,674.0,12.5,33.1
189,2010,735.0,7.7,20.32
189,2015,563.0,11.33,29.91
189,2020,505.0,10.2272727,27.0
191,1995,789.0,11.68,30.8
191,2000,711.0,11.4,30.1
191,2005,755.0,10.2,26.8
191,2010,774.0,7.59,20.05
