point_id,year,available ammonium nitrogen[NNH4 mg*kg-1],available magnesium [mg Mg*100g-1],available nitrate nitrogen [NNO3 mg*kg-1],available phosphorus [mg P2O5* 100g-1],available potassium [mg K2O*100g-1],available sulphur [mg S-SO4*100g-1]
127,1995,,6.0,,17.0,5.5,1.0
127,2000,,4.9,,14.9,5.0,1.25
127,2005,,4.5,,17.4,4.8,0.88
127,2010,,2.2,,21.4,6.8,1.31
127,2015,3.84,2.3,9.11,17.8,8.4,0.64
127,2020,3.6,2.3,32.2,24.6,6.6,3.2
129,1995,,5.8,,18.0,10.3,0.75
129,2000,,5.5,,14.8,10.8,0.75
129,2005,,6.2,,17.1,16.4,0.75
129,2010,,8.7,,13.0,11.3,1.25
129,2015,5.93,7.1,5.54,13.1,16.7,0.67
129,2020,1.0,2.8,46.5,26.5,21.3,3.27
131,1995,,9.8,,16.5,5.7,2.38
131,2000,,10.1,,11.7,7.0,2.25
131,2005,,9.4,,9.4,7.6,2.25
131,2010,,7.3,,21.7,25.4,1.03
131,2015,5.05,4.6,4.74,19.0,18.2,0.84
131,2020,2.9,5.0,34.1,20.2,22.4,6.0
133,1995,,7.7,,5.6,8.3,1.38
133,2000,,6.7,,3.9,9.5,1.65
133,2005,,6.0,,7.8,10.2,1.13
133,2010,,12.4,,6.8,11.6,1.02
133,2015,4.14,9.3,29.09,7.8,17.1,1.03
133,2020,2.2,9.8,30.3,8.1,7.3,2.3
135,1995,,3.6,,14.2,14.5,2.12
135,2000,,3.1,,10.4,10.1,1.95
135,2005,,3.8,,16.7,8.2,1.88
135,2010,,1.8,,20.1,12.8,1.33
135,2015,7.01,3.08,15.68,20.4,10.5,1.32
135,2020,3.09,4.4,42.2,9.4,10.2,1.9
137,1995,,1.8,,11.9,4.6,1.12
137,2000,,2.0,,9.4,6.2,1.13
137,2005,,2.0,,11.3,4.0,1.13
137,2010,,1.8,,13.0,7.0,0.93
137,2015,8.73,3.3,5.45,25.3,34.2,0.96
137,2020,5.2,3.9,63.9,13.8,22.5,1.4
139,1995,,4.7,,18.4,13.6,3.25
139,2000,,3.4,,15.2,10.4,3.13
139,2005,,5.4,,18.0,13.9,2.88
139,2010,,8.7,,18.4,19.5,1.63
139,2015,5.73,5.9,7.1,16.9,16.9,0.68
139,2020,2.2,4.9,30.6,14.0,8.1,2.0
141,1995,,1.1,,14.8,5.7,1.13
141,2000,,1.5,,11.7,7.8,1.13
141,2005,,1.6,,10.9,5.7,1.19
141,2010,,1.8,,27.4,5.2,1.3
141,2015,7.99,1.7,5.22,14.1,7.9,0.48
141,2020,1.0,5.8,60.2,10.6,18.5,2.7
143,1995,,16.0,,6.2,14.7,0.75
143,2000,,16.9,,9.0,11.0,0.56
143,2005,,19.7,,15.5,26.4,1.03
143,2010,,19.9,,15.3,13.1,0.93
143,2015,10.24,14.4,1.29,15.3,10.7,0.65
143,2020,11.2,14.4,25.0,15.2,10.0,3.7
145,1995,,2.2,,12.0,7.8,1.12
145,2000,,2.0,,10.6,7.5,0.85
145,2005,,3.0,,9.6,10.3,1.5
145,2010,,6.6,,20.0,18.0,1.36
145,2015,5.84,3.2,11.03,14.4,16.9,0.82
145,2020,2.2,5.3,32.6,16.4,14.1,2.1
147,1995,,5.4,,4.8,3.8,0.63
147,2000,,6.3,,5.2,4.3,0.75
147,2005,,28.8,,7.3,6.3,1.03
147,2010,,13.4,,11.2,8.4,0.47
147,2015,5.23,11.0,12.89,7.8,9.7,0.63
147,2020,16.6,6.1,8.1,15.5,8.5,3.2
149,1995,,1.8,,6.3,1.9,0.88
149,2000,,1.2,,5.6,2.1,0.75
149,2005,,1.6,,11.7,2.4,0.63
149,2010,,3.5,,9.6,6.8,0.73
149,2015,7.37,2.2,11.49,7.2,8.6,0.73
149,2020,1.0,4.7,38.7,7.3,16.4,4.62
151,1995,,17.4,,39.4,16.2,1.12
151,2000,,18.6,,28.2,18.5,1.12
151,2005,,23.9,,23.3,13.1,1.13
151,2010,,20.7,,21.1,13.5,0.8
151,2015,3.91,16.8,10.79,6.6,17.0,0.77
151,2020,2.3,18.4,18.1,6.4,8,"<1,00"
153,1995,,1.5,,10.7,10.3,1.38
153,2000,,2.8,,12.5,13.8,1.13
153,2005,,2.6,,23.4,24.2,1.5
153,2010,,4.5,,13.2,16.1,0.91
153,2015,2.38,2.1,2.18,10.6,11.9,0.39
153,2020,2.3,6.1,30.8,25.9,31.9,2.4
155,1995,,2.8,,28.3,12.8,0.98
