point_id,year,BN-78/9180-11: 1.0-0.1 mm [%],BN-78/9180-11: 0.1-0.02 mm [%],BN-78/9180-11: < 0.02 mm [%],PTG 2008: 0.05-0.002 mm [%],PTG 2008: 2.0-0.05 mm [%],PTG 2008: < 0.002 mm [%]
113,2015,60.0,24.0,16.0,23.0,74.0,3.0
113,2020,35.0,40.0,25.0,41.0,55.0,4.0
115,1995,56.0,26.0,18.0,,,6.0
115,2000,57.0,23.0,20.0,,,8.0
115,2005,56.0,22.0,22.0,,,7.0
115,2010,56.0,25.0,19.0,23.0,72.0,5.0
115,2015,58.0,23.0,19.0,22.0,72.0,6.0
115,2020,47.0,29.0,24.0,33.0,58.0,9.0
117,1995,58.0,24.0,18.0,,,6.0
117,2000,59.0,24.0,17.0,,,7.0
117,2005,61.0,20.0,19.0,,,6.0
117,2010,48.0,22.0,30.0,27.0,62.0,11.0
117,2015,48.0,26.0,26.0,25.0,64.0,11.0
117,2020,39.0,21.0,40.0,41.0,48.0,11.0
119,1995,69.0,16.0,15.0,,,5.0
119,2000,67.0,18.0,15.0,,,3.0
119,2005,66.0,18.0,16.0,,,4.0
119,2010,69.0,17.0,14.0,20.0,79.0,1.0
119,2015,70.0,17.0,13.0,20.0,78.0,2.0
119,2020,56.0,27.0,17.0,26.0,69.0,5.0
121,1995,61.0,21.0,18.0,,,5.0
121,2000,56.0,25.0,19.0,,,7.0
121,2005,55.0,25.0,20.0,,,6.0
121,2010,52.0,27.0,21.0,26.0,70.0,4.0
121,2015,57.0,27.0,16.0,23.0,74.0,3.0
121,2020,45.0,40.0,15.0,37.0,57.0,6.0
123,1995,60.0,25.0,15.0,,,3.0
123,2000,59.0,27.0,14.0,,,4.0
123,2005,55.0,28.0,17.0,,,4.0
123,2010,56.0,26.0,18.0,27.0,71.0,2.0
123,2015,55.0,32.0,13.0,20.0,77.0,3.0
123,2020,38.0,42.0,20.0,45.0,49.0,6.0
125,1995,61.0,19.0,23.0,,,8.0
125,2000,55.0,22.0,23.0,,,9.0
125,2005,53.0,23.0,24.0,,,8.0
125,2010,57.0,19.0,24.0,24.0,71.0,5.0
125,2015,57.0,24.0,19.0,20.0,74.0,6.0
125,2020,42.0,37.0,21.0,41.0,53.0,6.0
127,1995,78.0,15.0,7.0,,,3.0
127,2000,75.0,17.0,8.0,,,2.0
127,2005,78.0,15.0,7.0,,,3.0
127,2010,79.0,13.0,8.0,10.0,89.0,1.0
127,2015,81.0,12.0,7.0,5.0,91.0,4.0
127,2020,60.0,19.0,21.0,23.0,73.0,4.0
129,1995,62.0,18.0,20.0,,,9.0
129,2000,61.0,18.0,21.0,,,7.0
129,2005,62.0,20.0,18.0,,,6.0
129,2010,64.0,16.0,20.0,21.0,75.0,4.0
129,2015,61.0,19.0,20.0,21.0,73.0,6.0
129,2020,27.0,35.0,38.0,56.0,35.0,9.0
131,1995,55.0,17.0,28.0,,,8.0
131,2000,55.0,19.0,26.0,,,9.0
131,2005,54.0,19.0,27.0,,,6.0
131,2010,57.0,20.0,23.0,30.0,68.0,2.0
131,2015,58.0,21.0,21.0,25.0,69.0,6.0
131,2020,53.0,24.0,23.0,29.0,65.0,6.0
133,1995,71.0,16.0,13.0,,,4.0
133,2000,67.0,20.0,13.0,,,4.0
